Дата,Цена машиноместа,Количество машиномест,Купит\некупит,Уникальный идентификатор покупки,Скидка,Налог,Стоимость дополнительных услуг,Общая стоимость,Итоговая сумма,Сумма платежа,Комиссия,Итоговая сумма с комиссией,Дополнительные расходы,Сумма дополнительных расходов
21,1,0,0,14,1.0,1.0,3.0,6656046.7,2231015.56666667,15.0,15.0,15.0,179564.0,179564.0
21,5,0,1,32,1.0,1.0,6.0,8193703.78,1420568.84333333,4.0,3.0,3.5,204857.0,95379.0
15,6,0,0,39,1.0,1.0,2.0,6652297.58,3331398.79,16.0,16.0,16.0,190542.0,190542.0
19,7,0,0,59,1.0,1.0,1.0,10000.0,10000.0,8.0,8.0,8.0,232846.0,232846.0
18,8,0,0,113,4.0,4.0,3.0,9303610.11,3126870.03666667,24.0,24.0,24.0,172907.0,172907.0
24,10,0,0,146,1.0,1.0,3.0,12389002.23,4149667.41,4.0,4.0,4.0,397379.0,397379.0
21,16,0,0,193,3.0,3.0,6.0,5352066.73,930853.63166667,2.0,-1.0,0.5,160165.0,88847.0
23,17,0,0,204,1.0,1.0,4.0,4762627.2,1262186.8,2.0,-2.0,0.0,79600.0,64000.0
12,19,0,0,210,1.0,1.0,3.0,8093020.24,2710006.74666667,22.0,22.0,22.0,138777.0,138777.0
12,21,0,0,237,2.0,2.0,3.0,6014369.67,4012913.11333333,1.0,1.0,1.0,121858.0,121858.0
22,22,0,1,253,1.0,1.0,9.0,6143890.45,1997617.52666667,16.0,7.0,11.333333333333334,193677.0,182143.0
23,23,0,1,258,1.0,1.0,3.0,8579465.83,2869821.94333333,2.0,2.0,2.0,179078.0,179078.0
22,25,0,0,300,3.0,3.0,4.0,8341214.69,2092803.6725,10.0,7.0,9.25,249597.0,196488.0
21,26,0,0,322,1.0,1.0,3.0,6981392.62,2339464.20666667,11.0,11.0,11.0,192539.0,192539.0
24,27,0,0,325,1.0,1.0,7.0,18316750.5,3140760.415,4.0,-1.0,1.8571428571428568,298869.0,82871.0
